2024-09-01 00:55:39,372 - train_classifier_generate - INFO - Namespace(seed=0, gpus='0', data_dir='data/', epochs=50, batch_size=16, num_workers=4, num_classes=10, use_generator=True)
2024-09-01 00:55:45,314 - train_classifier_generate - INFO - 333320
2024-09-01 00:56:13,536 - train_classifier_generate - INFO - Epoch 0, Batch 0: Loss 2.317945718765259
2024-09-01 00:56:13,780 - train_classifier_generate - INFO - Epoch 0, Batch 100: Loss 2.293304443359375
2024-09-01 00:56:13,969 - train_classifier_generate - INFO - Epoch 0, Batch 200: Loss 2.2987470626831055
2024-09-01 00:56:14,195 - train_classifier_generate - INFO - Epoch 0, Batch 300: Loss 2.2186601161956787
2024-09-01 00:56:14,386 - train_classifier_generate - INFO - Epoch 0, Batch 400: Loss 2.208965539932251
2024-09-01 00:56:14,580 - train_classifier_generate - INFO - Epoch 0, Batch 500: Loss 2.2233216762542725
2024-09-01 00:56:14,768 - train_classifier_generate - INFO - Epoch 0, Batch 600: Loss 2.253255844116211
2024-09-01 00:56:14,954 - train_classifier_generate - INFO - Epoch 0, Batch 700: Loss 2.164396286010742
2024-09-01 00:56:15,144 - train_classifier_generate - INFO - Epoch 0, Batch 800: Loss 2.208219289779663
2024-09-01 00:56:15,333 - train_classifier_generate - INFO - Epoch 0, Batch 900: Loss 2.137779951095581
2024-09-01 00:56:15,526 - train_classifier_generate - INFO - Epoch 0, Batch 1000: Loss 2.149156093597412
2024-09-01 00:56:15,715 - train_classifier_generate - INFO - Epoch 0, Batch 1100: Loss 2.0944106578826904
2024-09-01 00:56:15,902 - train_classifier_generate - INFO - Epoch 0, Batch 1200: Loss 2.138699531555176
2024-09-01 00:56:16,090 - train_classifier_generate - INFO - Epoch 0, Batch 1300: Loss 2.1655142307281494
2024-09-01 00:56:16,278 - train_classifier_generate - INFO - Epoch 0, Batch 1400: Loss 2.0853705406188965
2024-09-01 00:56:16,469 - train_classifier_generate - INFO - Epoch 0, Batch 1500: Loss 2.1845245361328125
2024-09-01 00:56:16,660 - train_classifier_generate - INFO - Epoch 0, Batch 1600: Loss 2.021657943725586
2024-09-01 00:56:16,888 - train_classifier_generate - INFO - Epoch 0, Batch 1700: Loss 2.098299026489258
2024-09-01 00:56:17,153 - train_classifier_generate - INFO - Epoch 0, Batch 1800: Loss 2.084176778793335
2024-09-01 00:56:17,416 - train_classifier_generate - INFO - Epoch 0, Batch 1900: Loss 2.015178680419922
2024-09-01 00:56:17,678 - train_classifier_generate - INFO - Epoch 0, Batch 2000: Loss 2.0385594367980957
2024-09-01 00:56:17,939 - train_classifier_generate - INFO - Epoch 0, Batch 2100: Loss 1.9634675979614258
2024-09-01 00:56:18,201 - train_classifier_generate - INFO - Epoch 0, Batch 2200: Loss 2.0092153549194336
2024-09-01 00:56:18,469 - train_classifier_generate - INFO - Epoch 0, Batch 2300: Loss 2.0914723873138428
2024-09-01 00:56:18,736 - train_classifier_generate - INFO - Epoch 0, Batch 2400: Loss 2.0289738178253174
2024-09-01 00:56:18,998 - train_classifier_generate - INFO - Epoch 0, Batch 2500: Loss 1.9771212339401245
2024-09-01 00:56:19,261 - train_classifier_generate - INFO - Epoch 0, Batch 2600: Loss 2.017160654067993
2024-09-01 00:56:19,525 - train_classifier_generate - INFO - Epoch 0, Batch 2700: Loss 1.9108017683029175
2024-09-01 00:56:19,775 - train_classifier_generate - INFO - Epoch 0, Batch 2800: Loss 1.939823865890503
2024-09-01 00:56:19,962 - train_classifier_generate - INFO - Epoch 0, Batch 2900: Loss 1.979231834411621
2024-09-01 00:56:20,151 - train_classifier_generate - INFO - Epoch 0, Batch 3000: Loss 1.9432278871536255
2024-09-01 00:56:20,339 - train_classifier_generate - INFO - Epoch 0, Batch 3100: Loss 1.9699052572250366
2024-09-01 00:56:20,527 - train_classifier_generate - INFO - Epoch 0, Batch 3200: Loss 1.9541467428207397
2024-09-01 00:56:20,719 - train_classifier_generate - INFO - Epoch 0, Batch 3300: Loss 1.9772623777389526
2024-09-01 00:56:20,907 - train_classifier_generate - INFO - Epoch 0, Batch 3400: Loss 2.0898945331573486
2024-09-01 00:56:21,098 - train_classifier_generate - INFO - Epoch 0, Batch 3500: Loss 2.031463861465454
2024-09-01 00:56:21,285 - train_classifier_generate - INFO - Epoch 0, Batch 3600: Loss 1.9165247678756714
2024-09-01 00:56:21,472 - train_classifier_generate - INFO - Epoch 0, Batch 3700: Loss 1.8029509782791138
2024-09-01 00:56:21,663 - train_classifier_generate - INFO - Epoch 0, Batch 3800: Loss 1.9596763849258423
2024-09-01 00:56:21,852 - train_classifier_generate - INFO - Epoch 0, Batch 3900: Loss 1.9133009910583496
2024-09-01 00:56:22,040 - train_classifier_generate - INFO - Epoch 0, Batch 4000: Loss 2.090484857559204
2024-09-01 00:56:22,227 - train_classifier_generate - INFO - Epoch 0, Batch 4100: Loss 2.036714792251587
2024-09-01 00:56:22,415 - train_classifier_generate - INFO - Epoch 0, Batch 4200: Loss 1.9436211585998535
2024-09-01 00:56:22,609 - train_classifier_generate - INFO - Epoch 0, Batch 4300: Loss 1.9273433685302734
2024-09-01 00:56:22,798 - train_classifier_generate - INFO - Epoch 0, Batch 4400: Loss 1.9961459636688232
2024-09-01 00:56:22,985 - train_classifier_generate - INFO - Epoch 0, Batch 4500: Loss 1.9686119556427002
2024-09-01 00:56:23,173 - train_classifier_generate - INFO - Epoch 0, Batch 4600: Loss 1.97183358669281
2024-09-01 00:56:23,360 - train_classifier_generate - INFO - Epoch 0, Batch 4700: Loss 2.005859375
2024-09-01 00:56:23,549 - train_classifier_generate - INFO - Epoch 0, Batch 4800: Loss 1.8468533754348755
